Date,sentiment,polarity_norm
1/23/2017,neutral,1
7/27/2017,negative,0.055555556
7/27/2017,neutral,0.777777778
7/27/2017,positive,0.166666667
7/28/2017,negative,0.166666667
7/28/2017,neutral,0.5
7/28/2017,positive,0.333333333
8/1/2017,neutral,0.857142857
8/1/2017,positive,0.142857143
8/7/2017,negative,0.071428571
8/7/2017,neutral,0.285714286
8/7/2017,positive,0.642857143
8/8/2017,negative,0.1
8/8/2017,neutral,0.6
8/8/2017,positive,0.3
8/9/2017,neutral,1
8/10/2017,neutral,1
8/11/2017,neutral,1
8/12/2017,negative,1
8/14/2017,neutral,1
8/15/2017,neutral,0.333333333
8/15/2017,positive,0.666666667
8/16/2017,neutral,0.5
8/16/2017,positive,0.5
8/17/2017,neutral,0.5
8/17/2017,positive,0.5
8/21/2017,neutral,0.5
8/21/2017,positive,0.5
8/22/2017,positive,1
8/24/2017,neutral,0.857142857
8/24/2017,positive,0.142857143
8/25/2017,neutral,0.888888889
8/25/2017,positive,0.111111111
8/26/2017,neutral,1
8/27/2017,neutral,1
8/28/2017,neutral,1
8/29/2017,neutral,0.5
8/29/2017,positive,0.5
8/30/2017,negative,0.105263158
8/30/2017,neutral,0.263157895
8/30/2017,positive,0.631578947
8/31/2017,neutral,1
9/1/2017,negative,0.5
9/1/2017,neutral,0.25
9/1/2017,positive,0.25
9/2/2017,neutral,1
9/3/2017,neutral,1
9/5/2017,positive,1
9/6/2017,negative,0.142857143
9/6/2017,neutral,0.857142857
9/7/2017,neutral,1
9/8/2017,neutral,0.5
9/8/2017,positive,0.5
9/9/2017,negative,1
9/10/2017,positive,1
9/11/2017,neutral,1
9/12/2017,neutral,1
9/15/2017,negative,0.166666667
9/15/2017,neutral,0.833333333
9/16/2017,neutral,1
9/19/2017,neutral,1
9/21/2017,neutral,1
9/25/2017,neutral,1
9/26/2017,neutral,1
10/3/2017,neutral,1
10/6/2017,neutral,1
10/9/2017,positive,1
10/15/2017,neutral,1
10/21/2017,neutral,1
10/24/2017,negative,0.090909091
10/24/2017,neutral,0.818181818
10/24/2017,positive,0.090909091
10/25/2017,neutral,0.8
10/25/2017,positive,0.2
10/27/2017,neutral,1
10/28/2017,neutral,1
10/30/2017,neutral,1
10/31/2017,neutral,1
11/1/2017,negative,1
11/2/2017,negative,1
11/3/2017,neutral,1
11/5/2017,negative,1
11/10/2017,neutral,1
11/13/2017,neutral,1
11/16/2017,neutral,1
11/17/2017,neutral,1
11/25/2017,neutral,1
11/30/2017,positive,1
12/8/2017,neutral,1
12/18/2017,neutral,1
12/20/2017,neutral,1
12/21/2017,neutral,1
12/22/2017,neutral,1
1/5/2018,neutral,1
1/25/2018,neutral,1
1/26/2018,neutral,0.333333333
1/26/2018,positive,0.666666667
1/28/2018,neutral,1
1/29/2018,neutral,1
1/30/2018,neutral,1
1/31/2018,neutral,1
2/7/2018,neutral,1
2/8/2018,neutral,1
2/9/2018,neutral,1
2/12/2018,neutral,1
2/14/2018,positive,1
2/21/2018,neutral,1
2/27/2018,neutral,1
3/1/2018,neutral,1
3/2/2018,neutral,1
3/3/2018,neutral,1
3/4/2018,negative,0.2
3/4/2018,neutral,0.8
3/5/2018,neutral,0.7
3/5/2018,positive,0.3
3/6/2018,neutral,1
3/7/2018,neutral,1
3/8/2018,neutral,1
3/10/2018,neutral,1
3/12/2018,neutral,1
3/13/2018,neutral,1
3/14/2018,neutral,1
3/15/2018,neutral,0.8
3/15/2018,positive,0.2
3/16/2018,neutral,1
3/17/2018,neutral,1
3/25/2018,neutral,1
3/26/2018,neutral,1
3/27/2018,neutral,1
3/29/2018,neutral,1
4/16/2018,neutral,1
4/17/2018,neutral,1
4/18/2018,neutral,1
4/19/2018,positive,1
4/20/2018,neutral,1
4/21/2018,positive,1
4/23/2018,neutral,1
4/30/2018,neutral,1
5/2/2018,neutral,1
5/3/2018,neutral,0.5
5/3/2018,positive,0.5
5/4/2018,neutral,0.333333333
5/4/2018,positive,0.666666667
5/7/2018,neutral,1
5/8/2018,positive,1
5/9/2018,neutral,0.5
5/9/2018,positive,0.5
5/12/2018,neutral,1
5/14/2018,neutral,1
5/16/2018,neutral,1
5/22/2018,neutral,1
5/25/2018,neutral,1
5/26/2018,negative,0.2
5/26/2018,neutral,0.6
5/26/2018,positive,0.2
5/28/2018,neutral,1
5/30/2018,neutral,1
5/31/2018,neutral,1
6/2/2018,neutral,1
6/4/2018,neutral,0.666666667
6/4/2018,positive,0.333333333
6/7/2018,negative,0.5
6/7/2018,positive,0.5
6/8/2018,neutral,0.4
6/8/2018,positive,0.6
6/9/2018,neutral,1
6/10/2018,positive,1
6/11/2018,neutral,1
6/12/2018,neutral,1
6/13/2018,neutral,1
6/15/2018,neutral,1
6/16/2018,neutral,1
6/18/2018,neutral,1
6/19/2018,neutral,1
6/20/2018,negative,0.25
6/20/2018,neutral,0.75
6/21/2018,neutral,1
6/25/2018,neutral,1
6/26/2018,negative,0.5
6/26/2018,positive,0.5
6/27/2018,neutral,1
6/28/2018,neutral,1
6/29/2018,negative,1
6/30/2018,neutral,1
7/1/2018,neutral,0.75
7/1/2018,positive,0.25
7/3/2018,positive,1
7/5/2018,neutral,1
7/12/2018,neutral,1
7/13/2018,neutral,1
7/19/2018,neutral,1
7/20/2018,neutral,1
7/26/2018,neutral,1
7/31/2018,neutral,1
8/1/2018,neutral,1
8/6/2018,neutral,1
8/8/2018,neutral,1
8/16/2018,neutral,1
8/17/2018,neutral,1
8/18/2018,neutral,1
8/20/2018,neutral,0.090909091
8/20/2018,positive,0.909090909
8/21/2018,neutral,0.666666667
8/21/2018,positive,0.333333333
9/6/2018,neutral,1
9/11/2018,positive,1
9/14/2018,neutral,1
9/26/2018,positive,1
10/5/2018,neutral,1
10/6/2018,positive,1
10/8/2018,neutral,1
10/15/2018,negative,0.25
10/15/2018,neutral,0.75
10/19/2018,positive,1
10/22/2018,neutral,1
10/29/2018,neutral,1
11/2/2018,neutral,1
11/3/2018,neutral,1
11/5/2018,positive,1
11/13/2018,neutral,0.5
11/13/2018,positive,0.5
11/15/2018,positive,1
11/16/2018,positive,1
11/18/2018,positive,1
11/20/2018,positive,1
11/21/2018,neutral,1
11/22/2018,positive,1
11/23/2018,positive,1
11/27/2018,neutral,0.5
11/27/2018,positive,0.5
11/30/2018,neutral,0.333333333
11/30/2018,positive,0.666666667
12/2/2018,neutral,1
12/3/2018,neutral,0.5
12/3/2018,positive,0.5
12/4/2018,neutral,1
12/5/2018,positive,1
12/7/2018,positive,1
12/8/2018,positive,1
12/9/2018,neutral,0.666666667
12/9/2018,positive,0.333333333
12/11/2018,neutral,1
12/16/2018,positive,1
12/25/2018,negative,0.5
12/25/2018,neutral,0.5
12/27/2018,positive,1
12/28/2018,positive,1
12/30/2018,neutral,1
12/31/2018,negative,1
1/3/2019,positive,1
1/4/2019,positive,1
1/7/2019,positive,1
1/14/2019,positive,1
1/16/2019,negative,1
1/17/2019,neutral,0.5
1/17/2019,positive,0.5
1/23/2019,neutral,0.25
1/23/2019,positive,0.75
1/24/2019,neutral,1
1/25/2019,positive,1
1/26/2019,neutral,0.666666667
1/26/2019,positive,0.333333333
1/28/2019,neutral,0.2
1/28/2019,positive,0.8
1/30/2019,neutral,0.5
1/30/2019,positive,0.5
2/1/2019,neutral,1
2/6/2019,neutral,1
2/12/2019,positive,1
2/14/2019,neutral,0.5
2/14/2019,positive,0.5
2/15/2019,neutral,0.333333333
2/15/2019,positive,0.666666667
2/16/2019,positive,1
2/19/2019,neutral,1
2/20/2019,positive,1
2/23/2019,neutral,0.5
2/23/2019,positive,0.5
2/24/2019,positive,1
2/25/2019,neutral,0.833333333
2/25/2019,positive,0.166666667
2/26/2019,positive,1
3/4/2019,neutral,0.5
3/4/2019,positive,0.5
3/5/2019,neutral,1
3/7/2019,neutral,1
3/9/2019,positive,1
3/17/2019,positive,1
3/18/2019,positive,1
3/20/2019,neutral,1
3/21/2019,neutral,1
3/22/2019,negative,0.333333333
3/22/2019,neutral,0.666666667
3/23/2019,neutral,1
3/28/2019,neutral,0.5
3/28/2019,positive,0.5
3/30/2019,positive,1
4/1/2019,neutral,0.666666667
4/1/2019,positive,0.333333333
4/2/2019,neutral,0.666666667
4/2/2019,positive,0.333333333
4/15/2019,neutral,0.25
4/15/2019,positive,0.75
4/22/2019,neutral,1
4/24/2019,neutral,1
4/30/2019,neutral,1
5/1/2019,neutral,1
5/2/2019,neutral,1
5/3/2019,neutral,1
5/17/2019,neutral,0.75
5/17/2019,positive,0.25
5/31/2019,negative,0.125
5/31/2019,neutral,0.5625
5/31/2019,positive,0.3125
6/1/2019,neutral,0.4
6/1/2019,positive,0.6
6/3/2019,neutral,1
6/4/2019,negative,1
6/5/2019,neutral,1
6/7/2019,neutral,1
6/9/2019,positive,1
6/10/2019,neutral,1
6/15/2019,neutral,1
6/23/2019,neutral,1
6/24/2019,neutral,1
6/25/2019,neutral,1
7/2/2019,neutral,0.727272727
7/2/2019,positive,0.272727273
7/16/2019,neutral,1
7/22/2019,neutral,0.888888889
7/22/2019,positive,0.111111111
7/23/2019,neutral,1
7/25/2019,neutral,1
7/28/2019,neutral,1
7/30/2019,neutral,1
7/31/2019,negative,0.4
7/31/2019,neutral,0.6
8/1/2019,neutral,1
8/2/2019,neutral,1
8/7/2019,positive,1
8/8/2019,positive,1
8/9/2019,neutral,1
8/13/2019,positive,1
8/21/2019,neutral,0.5
8/21/2019,positive,0.5
8/22/2019,positive,1
8/25/2019,positive,1
8/29/2019,negative,1
9/9/2019,neutral,1
9/13/2019,neutral,1
9/20/2019,neutral,1
9/21/2019,positive,1
9/24/2019,positive,1
9/26/2019,neutral,1
9/28/2019,neutral,1
9/29/2019,neutral,1
10/1/2019,neutral,1
10/4/2019,neutral,1
10/7/2019,neutral,0.25
10/7/2019,positive,0.75
10/8/2019,neutral,0.285714286
10/8/2019,positive,0.714285714
10/9/2019,neutral,1
10/10/2019,neutral,1
10/12/2019,neutral,1
10/15/2019,neutral,1
10/23/2019,neutral,1
10/26/2019,neutral,1
10/28/2019,neutral,0.6
10/28/2019,positive,0.4
10/30/2019,neutral,1
11/6/2019,neutral,0.625
11/6/2019,positive,0.375
11/7/2019,neutral,1
11/8/2019,neutral,1
11/12/2019,neutral,1
11/13/2019,neutral,1
11/15/2019,neutral,1
11/19/2019,neutral,1
11/20/2019,neutral,1
11/28/2019,negative,1
12/2/2019,neutral,1
12/3/2019,neutral,1
12/5/2019,neutral,1
12/7/2019,neutral,1
12/9/2019,positive,1
12/10/2019,neutral,0.5
12/10/2019,positive,0.5
12/11/2019,neutral,0.833333333
12/11/2019,positive,0.166666667
12/12/2019,positive,1
12/13/2019,neutral,1
12/16/2019,negative,0.111111111
12/16/2019,neutral,0.888888889
12/17/2019,neutral,1
12/18/2019,neutral,1
12/19/2019,neutral,1
12/27/2019,neutral,1
1/20/2020,neutral,1
1/21/2020,neutral,1
1/22/2020,neutral,1
1/24/2020,neutral,1
1/26/2020,positive,1
1/27/2020,positive,1
2/9/2020,positive,1
2/10/2020,positive,1
2/16/2020,positive,1
2/23/2020,positive,1
2/24/2020,neutral,0.5
2/24/2020,positive,0.5
3/1/2020,positive,1
3/2/2020,positive,1
3/5/2020,positive,1
3/8/2020,positive,1
3/9/2020,neutral,0.833333333
3/9/2020,positive,0.166666667
3/10/2020,neutral,0.666666667
3/10/2020,positive,0.333333333
3/11/2020,neutral,1
3/12/2020,neutral,1
3/13/2020,positive,1
3/14/2020,neutral,1
3/15/2020,positive,1
3/16/2020,neutral,0.666666667
3/16/2020,positive,0.333333333
3/17/2020,neutral,0.5
3/17/2020,positive,0.5
3/18/2020,neutral,0.5
3/18/2020,positive,0.5
3/19/2020,neutral,0.666666667
3/19/2020,positive,0.333333333
3/20/2020,negative,0.037037037
3/20/2020,neutral,0.740740741
3/20/2020,positive,0.222222222
3/21/2020,neutral,1
3/22/2020,neutral,0.666666667
3/22/2020,positive,0.333333333
3/23/2020,neutral,0.6
3/23/2020,positive,0.4
3/24/2020,neutral,1
3/25/2020,neutral,1
3/26/2020,neutral,1
3/27/2020,neutral,0.777777778
3/27/2020,positive,0.222222222
3/28/2020,neutral,0.888888889
3/28/2020,positive,0.111111111
3/29/2020,neutral,0.666666667
3/29/2020,positive,0.333333333
3/30/2020,negative,0.05
3/30/2020,neutral,0.7
3/30/2020,positive,0.25
3/31/2020,negative,0.090909091
3/31/2020,neutral,0.454545455
3/31/2020,positive,0.454545455
4/1/2020,neutral,0.4
4/1/2020,positive,0.6
4/2/2020,negative,0.071428571
4/2/2020,neutral,0.75
4/2/2020,positive,0.178571429
4/3/2020,neutral,0.857142857
4/3/2020,positive,0.142857143
4/4/2020,neutral,0.666666667
4/4/2020,positive,0.333333333
4/5/2020,neutral,0.5
4/5/2020,positive,0.5
4/6/2020,neutral,0.888888889
4/6/2020,positive,0.111111111
4/7/2020,neutral,0.8
4/7/2020,positive,0.2
4/8/2020,neutral,1
4/9/2020,neutral,1
4/10/2020,positive,1
4/11/2020,neutral,1
4/12/2020,positive,1
4/13/2020,neutral,0.25
4/13/2020,positive,0.75
4/14/2020,neutral,0.75
4/14/2020,positive,0.25
4/15/2020,negative,0.024390244
4/15/2020,neutral,0.585365854
4/15/2020,positive,0.390243902
4/16/2020,neutral,0.4
4/16/2020,positive,0.6
4/17/2020,neutral,0.25
4/17/2020,positive,0.75
4/20/2020,neutral,0.666666667
4/20/2020,positive,0.333333333
4/21/2020,negative,0.333333333
4/21/2020,neutral,0.333333333
4/21/2020,positive,0.333333333
4/22/2020,neutral,1
4/23/2020,neutral,1
4/24/2020,neutral,1
4/25/2020,negative,1
4/26/2020,negative,1
4/27/2020,neutral,0.5
4/27/2020,positive,0.5
4/28/2020,neutral,1
4/29/2020,neutral,0.666666667
4/29/2020,positive,0.333333333
4/30/2020,neutral,0.333333333
4/30/2020,positive,0.666666667
5/1/2020,neutral,0.5
5/1/2020,positive,0.5
5/4/2020,neutral,1
5/5/2020,neutral,0.5
5/5/2020,positive,0.5
5/6/2020,negative,0.058823529
5/6/2020,neutral,0.411764706
5/6/2020,positive,0.529411765
5/7/2020,neutral,0.6
5/7/2020,positive,0.4
5/8/2020,neutral,0.333333333
5/8/2020,positive,0.666666667
5/9/2020,positive,1
5/11/2020,neutral,0.5
5/11/2020,positive,0.5
5/12/2020,neutral,0.4
5/12/2020,positive,0.6
5/13/2020,neutral,0.5
5/13/2020,positive,0.5
5/14/2020,negative,0.25
5/14/2020,neutral,0.5
5/14/2020,positive,0.25
5/15/2020,neutral,0.714285714
5/15/2020,positive,0.285714286
5/16/2020,neutral,0.333333333
5/16/2020,positive,0.666666667
5/19/2020,positive,1
5/20/2020,negative,0.5
5/20/2020,neutral,0.5
5/21/2020,neutral,0.5
5/21/2020,positive,0.5
5/22/2020,neutral,0.428571429
5/22/2020,positive,0.571428571
5/23/2020,neutral,0.666666667
5/23/2020,positive,0.333333333
5/24/2020,positive,1
5/25/2020,neutral,0.5
5/25/2020,positive,0.5
5/26/2020,neutral,1
5/27/2020,neutral,0.842105263
5/27/2020,positive,0.157894737
5/28/2020,neutral,0.9
5/28/2020,positive,0.1
5/29/2020,negative,0.045454545
5/29/2020,neutral,0.545454545
5/29/2020,positive,0.409090909
5/30/2020,neutral,0.333333333
5/30/2020,positive,0.666666667
5/31/2020,neutral,0.5
5/31/2020,positive,0.5
6/1/2020,neutral,0.764705882
6/1/2020,positive,0.235294118
6/2/2020,negative,0.044444444
6/2/2020,neutral,0.7
6/2/2020,positive,0.255555556
6/3/2020,negative,0.043478261
6/3/2020,neutral,0.52173913
6/3/2020,positive,0.434782609
6/4/2020,negative,0.090909091
6/4/2020,neutral,0.5
6/4/2020,positive,0.409090909
6/5/2020,negative,0.078947368
6/5/2020,neutral,0.684210526
6/5/2020,positive,0.236842105
6/6/2020,neutral,1
6/7/2020,positive,1
6/8/2020,neutral,0.545454545
6/8/2020,positive,0.454545455
6/9/2020,neutral,0.46875
6/9/2020,positive,0.53125
6/10/2020,negative,0.222222222
6/10/2020,neutral,0.333333333
6/10/2020,positive,0.444444444
6/11/2020,negative,0.076923077
6/11/2020,neutral,0.461538462
6/11/2020,positive,0.461538462
6/12/2020,neutral,0.612903226
6/12/2020,positive,0.387096774
6/13/2020,negative,0.054054054
6/13/2020,neutral,0.621621622
6/13/2020,positive,0.324324324
6/14/2020,negative,0.018518519
6/14/2020,neutral,0.666666667
6/14/2020,positive,0.314814815
6/15/2020,negative,0.030487805
6/15/2020,neutral,0.646341463
6/15/2020,positive,0.323170732
6/16/2020,negative,0.1375
6/16/2020,neutral,0.55
6/16/2020,positive,0.3125
6/17/2020,neutral,0.733333333
6/17/2020,positive,0.266666667
6/18/2020,negative,0.052631579
6/18/2020,neutral,0.473684211
6/18/2020,positive,0.473684211
6/19/2020,neutral,0.5
6/19/2020,positive,0.5
6/20/2020,neutral,0.714285714
6/20/2020,positive,0.285714286
6/21/2020,neutral,0.5
6/21/2020,positive,0.5
6/22/2020,negative,0.1875
6/22/2020,neutral,0.5625
6/22/2020,positive,0.25
6/23/2020,negative,0.074074074
6/23/2020,neutral,0.518518519
6/23/2020,positive,0.407407407
6/24/2020,negative,0.068965517
6/24/2020,neutral,0.482758621
6/24/2020,positive,0.448275862
6/25/2020,negative,0.078947368
6/25/2020,neutral,0.421052632
6/25/2020,positive,0.5
6/26/2020,negative,0.148148148
6/26/2020,neutral,0.481481481
6/26/2020,positive,0.37037037
6/27/2020,negative,0.2
6/27/2020,neutral,0.533333333
6/27/2020,positive,0.266666667
6/28/2020,negative,0.142857143
6/28/2020,neutral,0.428571429
6/28/2020,positive,0.428571429
6/29/2020,negative,0.111111111
6/29/2020,neutral,0.388888889
6/29/2020,positive,0.5
6/30/2020,negative,0.056338028
6/30/2020,neutral,0.436619718
6/30/2020,positive,0.507042254
7/1/2020,neutral,0.5
7/1/2020,positive,0.5
7/2/2020,negative,0.105263158
7/2/2020,neutral,0.578947368
7/2/2020,positive,0.315789474
7/3/2020,neutral,0.727272727
7/3/2020,positive,0.272727273
7/4/2020,neutral,0.75
7/4/2020,positive,0.25
7/5/2020,negative,0.058823529
7/5/2020,neutral,0.529411765
7/5/2020,positive,0.411764706
7/6/2020,negative,0.105263158
7/6/2020,neutral,0.710526316
7/6/2020,positive,0.184210526
7/7/2020,negative,0.048780488
7/7/2020,neutral,0.609756098
7/7/2020,positive,0.341463415
7/8/2020,negative,0.12
7/8/2020,neutral,0.6
7/8/2020,positive,0.28
7/9/2020,negative,0.046511628
7/9/2020,neutral,0.511627907
7/9/2020,positive,0.441860465
7/10/2020,negative,0.034482759
7/10/2020,neutral,0.517241379
7/10/2020,positive,0.448275862
7/11/2020,neutral,0.666666667
7/11/2020,positive,0.333333333
7/12/2020,neutral,0.588235294
7/12/2020,positive,0.411764706
7/13/2020,negative,0.060606061
7/13/2020,neutral,0.515151515
7/13/2020,positive,0.424242424
7/14/2020,negative,0.095238095
7/14/2020,neutral,0.404761905
7/14/2020,positive,0.5
7/15/2020,neutral,0.444444444
7/15/2020,positive,0.555555556
7/16/2020,negative,0.016129032
7/16/2020,neutral,0.548387097
7/16/2020,positive,0.435483871
7/17/2020,negative,0.066666667
7/17/2020,neutral,0.688888889
7/17/2020,positive,0.244444444
7/18/2020,neutral,0.571428571
7/18/2020,positive,0.428571429
7/19/2020,negative,0.1
7/19/2020,neutral,0.7
7/19/2020,positive,0.2
7/20/2020,negative,0.020408163
7/20/2020,neutral,0.489795918
7/20/2020,positive,0.489795918
7/21/2020,negative,0.027777778
7/21/2020,neutral,0.666666667
7/21/2020,positive,0.305555556
7/22/2020,negative,0.055555556
7/22/2020,neutral,0.722222222
7/22/2020,positive,0.222222222
7/23/2020,negative,0.035714286
7/23/2020,neutral,0.428571429
7/23/2020,positive,0.535714286
7/24/2020,negative,0.035714286
7/24/2020,neutral,0.535714286
7/24/2020,positive,0.428571429
7/25/2020,neutral,0.333333333
7/25/2020,positive,0.666666667
7/26/2020,neutral,0.583333333
7/26/2020,positive,0.416666667
7/27/2020,negative,0.025974026
7/27/2020,neutral,0.714285714
7/27/2020,positive,0.25974026
7/28/2020,negative,0.033333333
7/28/2020,neutral,0.622222222
7/28/2020,positive,0.344444444
7/29/2020,negative,0.055555556
7/29/2020,neutral,0.611111111
7/29/2020,positive,0.333333333
7/30/2020,negative,0.078947368
7/30/2020,neutral,0.631578947
7/30/2020,positive,0.289473684
7/31/2020,negative,0.107142857
7/31/2020,neutral,0.571428571
7/31/2020,positive,0.321428571
8/1/2020,neutral,0.833333333
8/1/2020,positive,0.166666667
8/2/2020,neutral,0.833333333
8/2/2020,positive,0.166666667
8/3/2020,negative,0.025
8/3/2020,neutral,0.7875
8/3/2020,positive,0.1875
8/4/2020,negative,0.083333333
8/4/2020,neutral,0.555555556
8/4/2020,positive,0.361111111
8/5/2020,negative,0.048780488
8/5/2020,neutral,0.731707317
8/5/2020,positive,0.219512195
8/6/2020,negative,0.019607843
8/6/2020,neutral,0.764705882
8/6/2020,positive,0.215686275
8/7/2020,neutral,0.607142857
8/7/2020,positive,0.392857143
8/8/2020,neutral,0.666666667
8/8/2020,positive,0.333333333
8/9/2020,neutral,0.666666667
8/9/2020,positive,0.333333333
8/10/2020,negative,0.025
8/10/2020,neutral,0.65
8/10/2020,positive,0.325
8/11/2020,negative,0.111111111
8/11/2020,neutral,0.62962963
8/11/2020,positive,0.259259259
8/12/2020,negative,0.042553191
8/12/2020,neutral,0.595744681
8/12/2020,positive,0.361702128
8/13/2020,negative,0.070175439
8/13/2020,neutral,0.578947368
8/13/2020,positive,0.350877193
8/14/2020,negative,0.04
8/14/2020,neutral,0.64
8/14/2020,positive,0.32
8/15/2020,neutral,1
8/16/2020,neutral,0.75
8/16/2020,positive,0.25
8/17/2020,neutral,0.666666667
8/17/2020,positive,0.333333333
8/18/2020,neutral,0.611111111
8/18/2020,positive,0.388888889
8/19/2020,negative,0.03125
8/19/2020,neutral,0.46875
8/19/2020,positive,0.5
8/20/2020,neutral,0.75
8/20/2020,positive,0.25
8/21/2020,neutral,0.846153846
8/21/2020,positive,0.153846154
8/22/2020,neutral,0.6
8/22/2020,positive,0.4
8/23/2020,negative,0.038461538
8/23/2020,neutral,0.692307692
8/23/2020,positive,0.269230769
8/24/2020,negative,0.068965517
8/24/2020,neutral,0.75862069
8/24/2020,positive,0.172413793
8/25/2020,negative,0.142857143
8/25/2020,neutral,0.714285714
8/25/2020,positive,0.142857143
8/26/2020,negative,0.2
8/26/2020,neutral,0.3
8/26/2020,positive,0.5
8/27/2020,neutral,0.857142857
8/27/2020,positive,0.142857143
8/28/2020,negative,0.1
8/28/2020,neutral,0.5
8/28/2020,positive,0.4
8/29/2020,negative,0.125
8/29/2020,neutral,0.875
8/30/2020,negative,0.4
8/30/2020,neutral,0.4
8/30/2020,positive,0.2
8/31/2020,negative,0.071428571
8/31/2020,neutral,0.5
8/31/2020,positive,0.428571429
9/1/2020,negative,0.045454545
9/1/2020,neutral,0.545454545
9/1/2020,positive,0.409090909
9/2/2020,negative,0.035714286
9/2/2020,neutral,0.678571429
9/2/2020,positive,0.285714286
9/3/2020,negative,0.0625
9/3/2020,neutral,0.4375
9/3/2020,positive,0.5
9/4/2020,negative,0.058823529
9/4/2020,neutral,0.852941176
9/4/2020,positive,0.088235294
9/5/2020,negative,0.2
9/5/2020,neutral,0.2
9/5/2020,positive,0.6
9/6/2020,neutral,0.666666667
9/6/2020,positive,0.333333333
9/7/2020,neutral,0.333333333
9/7/2020,positive,0.666666667
9/8/2020,negative,0.133333333
9/8/2020,neutral,0.533333333
9/8/2020,positive,0.333333333
9/9/2020,negative,0.052631579
9/9/2020,neutral,0.473684211
9/9/2020,positive,0.473684211
9/10/2020,negative,0.111111111
9/10/2020,neutral,0.222222222
9/10/2020,positive,0.666666667
9/11/2020,neutral,0.7
9/11/2020,positive,0.3
9/12/2020,neutral,0.428571429
9/12/2020,positive,0.571428571
9/13/2020,negative,0.142857143
9/13/2020,neutral,0.714285714
9/13/2020,positive,0.142857143
9/14/2020,negative,0.065217391
9/14/2020,neutral,0.782608696
9/14/2020,positive,0.152173913
9/15/2020,negative,0.028985507
9/15/2020,neutral,0.913043478
9/15/2020,positive,0.057971014
9/16/2020,negative,0.133333333
9/16/2020,neutral,0.4
9/16/2020,positive,0.466666667
9/17/2020,neutral,0.65
9/17/2020,positive,0.35
9/18/2020,negative,0.216494845
9/18/2020,neutral,0.536082474
9/18/2020,positive,0.24742268
9/19/2020,neutral,0.857142857
9/19/2020,positive,0.142857143
9/20/2020,negative,0.1
9/20/2020,neutral,0.7
9/20/2020,positive,0.2
9/21/2020,negative,0.087912088
9/21/2020,neutral,0.505494505
9/21/2020,positive,0.406593407
9/22/2020,negative,0.138297872
9/22/2020,neutral,0.446808511
9/22/2020,positive,0.414893617
9/23/2020,negative,0.021505376
9/23/2020,neutral,0.784946237
9/23/2020,positive,0.193548387
9/24/2020,negative,0.089285714
9/24/2020,neutral,0.589285714
9/24/2020,positive,0.321428571
9/25/2020,negative,0.104166667
9/25/2020,neutral,0.541666667
9/25/2020,positive,0.354166667
9/26/2020,negative,0.2
9/26/2020,neutral,0.4
9/26/2020,positive,0.4
9/27/2020,neutral,0.769230769
9/27/2020,positive,0.230769231
9/28/2020,neutral,0.56
9/28/2020,positive,0.44
9/29/2020,negative,0.037037037
